2022-11-18 11:42:50.398 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:43:29.961 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:43:44.429 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:43:44.946 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:43:45.461 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:43:45.977 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:43:54.398 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:44:07.929 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:44:08.446 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:44:08.961 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:44:09.492 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:44:59.639 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:45:16.367 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 11:45:36.422 uiautomation.py[6473] Refind -> 2022-11-18 12:15:41.523 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:15:48.304 Tools.py[38] WinCtl -> Find Control Timeout(1.5s): {Name: '打印', ControlType: WindowControl}
2022-11-18 12:16:05.335 Tools.py[38] WinCtl -> Find Control Timeout(15s): {Name: '打印', ControlType: WindowControl}
2022-11-18 12:16:27.663 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:16:41.757 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:16:42.273 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:16:42.788 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:16:43.304 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:16:51.484 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:17:05.007 Invoice.py[164] ShouldDoubleClickQueryResult -> 2022-11-18 12:23:33.874 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:23:47.726 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:23:48.241 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:23:48.757 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:23:49.273 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:23:57.429 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:24:10.851 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:24:11.366 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:24:11.882 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:24:12.398 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:24:20.554 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 12:24:34.069 Invoice.py[164] ShouldDoubleClickQueryResult -> 2022-11-18 13:11:40.287 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:12.600 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:13.100 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:13.615 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:14.131 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:22.506 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:35.694 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:36.194 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:36.713 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:37.229 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:45.834 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:12:59.928 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:13:00.444 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:13:00.959 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:13:01.475 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:13:50.897 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:13:57.991 uiautomation.py[6473] Refind -> Find Control Timeout(1.5s): {Name: '打印', ControlType: WindowControl}
2022-11-18 13:14:15.038 uiautomation.py[6473] Refind -> 2022-11-18 13:24:06.609 Tools.py[12] GetMainWindow -> 2022-11-18 13:30:41.299 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:30:55.928 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:30:56.444 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:30:56.961 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:30:57.480 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 13:31:05.642 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
